word_count,usd_pledged_real
51,3473
54,1.09
58,2646
54,2368
31,9622.21
21,4665
21,1
25,0
28,11880.18
32,18007
28,15
45,105
32,32667.33
27,775
56,2662
47,7389
34,563
25,1724.71
30,36
27,261
19,0
32,140
42,0
35,146121.81
20,290
19,155
58,290.3
57,13020
32,1188
60,0
25,245
24,0
18,0
57,1628
47,1427.28
9,1170
58,354
48,14255.15
13,16333.13
12,2.27
28,1
59,6250.88
38,4126
32,0
56,126
51,25769
60,577532.01
44,121
14,7338
34,0
20,1195
29,1154.03
43,8690.42
13,5270.69
17,1575
24,0
21,48
56,5166
13,264.67
41,8178.24
30,4502
53,166.33
19,15806
42,5185
15,0
16,660
48,234.36
60,4176
23,9748
37,1651
56,100
13,6710
11,96.97
59,91.9
11,59
42,50653
21,7947
18,242.35
24,137
20,9186
11,230
51,20
40,3984
46,75504.15
33,444.6
45,0
11,766
33,0
35,300
37,631
38,1250.23
16,67.94
34,17332
26,9516
40,579
7,0
39,641
10,111
59,2072
56,4206.07
36,60
38,0
43,1240
4,400
22,5511
58,2780
47,10896
29,0
32,20243
53,273.22
59,2475
27,10550
44,6399
19,0
18,63080.31
14,77522.47
36,6569
57,26476.66
41,105
55,6025.03
42,0
27,1568.71
38,381
60,18033
27,0
56,670
48,251
52,80
13,0
39,3450
36,41
55,0
49,61
36,435
4,251
47,9855.63
50,5020667.05
16,126838
10,0
45,510
50,51
36,121
37,7060
38,9878
13,24086.1
9,11
14,8016
22,7.39
8,1
14,72
56,2917.39
13,135
7,1753.26
31,5000
31,129.37
35,2720
31,25
16,4971
61,2443
44,5275
17,536.63
47,0
56,48443.34
7,280
57,3801
37,0
17,15.55
25,0
29,122161
47,99251.91
22,750
14,0
46,4.63
60,30752
54,2313
20,280
36,407.97
58,0
20,70
16,4028
55,603
58,51501.7
36,32006.67
14,0
37,4
39,2.92
52,0
13,67
5,0
43,1.04
27,425.67
54,79949
23,4305.05
53,9729.52
56,2001.52
18,71.77
41,0
60,17391
43,150986
60,0
14,928.28
59,5796
30,60
61,1892
60,5360
32,3575
33,99
24,51
27,20
8,85.91
55,55.77
25,3194
59,832.12
10,75
29,254
41,4554.09
45,3784
50,105
35,12425
14,183.52
27,340.33
39,18131
58,931.43
29,0
20,2939.13
43,5
51,0
9,101
19,0
12,6095
52,0
56,11837.43
55,579
17,35
13,12000.1
40,167.59
54,12876
32,96.2
28,28399
29,1.12
34,3
43,41
22,91.12
57,900.11
8,0
21,11459
56,131.54
60,391
57,669.02
57,195.68
18,862
24,1
16,0
53,76.1
16,3847.39
29,0
8,5877
44,5
41,4082
60,2023
45,20
60,81
32,0
56,0.72
81,5237.88
10,83476.21
15,2914
15,775
52,136
49,50140.01
48,30230
6,10038
19,16159
57,16397
11,192.95
33,2860
60,40
18,25264
28,20
49,0
59,39473.14
14,1573
18,150
41,3546
32,725
23,0
60,525
15,3000
32,9661
40,2580
51,1601.11
33,20658.63
41,1
39,8600
58,52
43,28121.59
28,660
41,3.67
45,65346
19,5312
37,2465
48,281
46,0
33,1064
56,2622.09
12,0
56,11175.9
12,21
39,275.83
69,5281
54,52
57,680
7,1700
13,201
58,700
13,6.77
9,4101.82
48,1
31,50
23,50
29,11970.37
37,0
34,21441
85,200
20,1
59,515
16,105
18,68.09
19,316.21
49,257.28
59,37169.37
43,1480
15,0
45,4608
47,30586
54,0
35,241
56,896
50,6523
32,220
36,1215.38
34,14939
18,14051.11
48,2676
15,417
52,525
20,829.51
60,4603
51,515
22,0
9,42469
11,1535
36,3197
20,215
50,680
22,3549.97
28,35317
21,0
19,0
68,8581.24
10,131.34
10,465.56
38,8585.82
23,6060.01
30,45.82
12,22
8,563.28
55,38.95
13,0
30,450
49,1500
53,19374.05
35,25
18,10
40,200
54,1128
29,50
55,1074
24,5530
38,12562
21,1040
12,0
58,7052.38
58,297
6,3030
59,45
32,7.55
39,47515.63
24,1852
18,4086.01
17,1600
60,1500
15,1172.75
15,4017.68
44,27620
18,836.33
33,1225
15,261
54,1930
21,372
49,3108.68
24,245
18,2433.43
26,91
48,100
8,0
36,32942
58,0
43,366
58,75
38,2
33,1256
50,9002
51,21388
9,6260.08
16,150
27,430
13,112
16,275
11,5291.5
35,550
47,1006.75
17,949
26,1
46,615
39,31748
16,100
14,455
28,11907.27
45,16669
58,74071
57,6417.79
31,4645
22,0
39,4382
55,70
57,0
15,125
24,386.31
25,2381
19,130
26,25
52,0
28,94.08
49,701
8,3904.07
13,0
12,43
42,1435
34,0
40,37.93
72,200
50,357.43
39,890
46,335
7,5
32,5410
30,76
22,87.52
13,235
27,38.07
27,25391.26
11,15.34
13,0
20,8361
50,0
10,0
44,1225
13,21965.41
36,275
49,0
50,3459
60,980.06
45,501612
17,305
8,226
47,0
34,10872.79
38,352
26,5
31,1354.99
40,2192.24
13,20491.01
16,27846
27,0
34,52
7,0
51,10
49,8821.77
28,2000
56,0
37,20
39,1570.76
64,7.59
32,3168.24
32,61
31,3105
59,607
29,2
46,787
17,432
60,8268
60,2030.4
26,16378.25
38,151
54,2585.31
44,0
55,2570.12
24,1591
47,0
18,797
23,325
59,25
60,16067.69
28,214.29
41,51
17,6911
16,691
52,929.66
13,25
59,0
27,1.66
28,1381
32,296
41,0
26,22940.32
24,8576
27,587
6,3500.99
55,2366
29,349
22,4368.33
57,1.14
10,6912
28,0
59,11392.65
27,125
57,805
48,0
57,21415
27,44735.59
45,1257
15,1525
21,100
23,89.43
16,4631
53,830
23,1185
11,1439
25,0
59,9299
14,15297.41
13,372
53,1903
55,2281
36,0
37,0
7,0
26,475
8,50
41,507.61
14,5052
30,16485.31
54,79002.81
